 ,Area,Mean,Min,Max
561,25,255,255,255
562,175,255,255,255
563,3275,255,255,255
564,75,255,255,255
565,100,255,255,255
566,50,255,255,255
567,25,255,255,255
568,700,255,255,255
569,700,255,255,255
570,150,255,255,255
571,800,255,255,255
572,150,255,255,255
573,100,255,255,255
574,25,255,255,255
575,25,255,255,255
576,100,255,255,255
577,25,255,255,255
578,25,255,255,255
579,825,255,255,255
580,25,255,255,255
581,25,255,255,255
582,50,255,255,255
583,25,255,255,255
584,25,255,255,255
585,50,255,255,255
586,400,255,255,255
587,25,255,255,255
588,25,255,255,255
589,500,255,255,255
590,1250,255,255,255
591,25,255,255,255
592,75,255,255,255
593,25,255,255,255
594,25,255,255,255
595,1475,255,255,255
596,800,255,255,255
597,25,255,255,255
598,25,255,255,255
599,125,255,255,255
600,375,255,255,255
601,900,255,255,255
602,100,255,255,255
603,25,255,255,255
604,25,255,255,255
605,675,255,255,255
606,25,255,255,255
607,3550,255,255,255
608,25,255,255,255
609,125,255,255,255
610,175,255,255,255
611,50,255,255,255
612,50,255,255,255
613,50,255,255,255
614,25,255,255,255
615,50,255,255,255
616,25,255,255,255
617,100,255,255,255
618,725,255,255,255
619,25,255,255,255
620,50,255,255,255
621,19300,255,255,255
622,125,255,255,255
623,25,255,255,255
624,50,255,255,255
625,50,255,255,255
626,3100,255,255,255
627,25,255,255,255
628,3100,255,255,255
629,25,255,255,255
630,200,255,255,255
631,25,255,255,255
632,275,255,255,255
633,50,255,255,255
634,25,255,255,255
635,400,255,255,255
636,25,255,255,255
637,1325,255,255,255
638,350,255,255,255
639,25,255,255,255
640,2775,255,255,255
641,25,255,255,255
642,25,255,255,255
643,25,255,255,255
644,50,255,255,255
645,25,255,255,255
646,4375,255,255,255
647,25,255,255,255
648,100,255,255,255
649,400,255,255,255
650,25,255,255,255
651,75,255,255,255
652,400,255,255,255
653,75,255,255,255
654,25,255,255,255
655,25,255,255,255
656,225,255,255,255
657,400,255,255,255
658,25,255,255,255
659,75,255,255,255
660,25,255,255,255
661,25,255,255,255
662,2925,255,255,255
663,25,255,255,255
664,25,255,255,255
665,250,255,255,255
666,275,255,255,255
667,4325,255,255,255
668,3025,255,255,255
669,25,255,255,255
670,1100,255,255,255
671,25,255,255,255
672,50,255,255,255
673,25,255,255,255
674,25,255,255,255
675,1275,255,255,255
676,25,255,255,255
677,25,255,255,255
678,25,255,255,255
679,25,255,255,255
680,50,255,255,255
681,50,255,255,255
682,100,255,255,255
683,150,255,255,255
684,100,255,255,255
685,6400,255,255,255
686,25,255,255,255
687,25,255,255,255
688,6775,255,255,255
689,675,255,255,255
690,200,255,255,255
691,50,255,255,255
692,50,255,255,255
693,50,255,255,255
694,1325,255,255,255
695,100,255,255,255
696,50,255,255,255
697,25,255,255,255
698,25,255,255,255
699,50,255,255,255
700,25,255,255,255
701,25,255,255,255
702,25,255,255,255
703,50,255,255,255
704,50,255,255,255
705,25,255,255,255
706,25,255,255,255
707,75,255,255,255
708,25,255,255,255
709,125,255,255,255
710,25,255,255,255
711,25,255,255,255
712,150,255,255,255
713,1400,255,255,255
714,575,255,255,255
715,50,255,255,255
716,700,255,255,255
717,25,255,255,255
718,75,255,255,255
719,125,255,255,255
720,50,255,255,255
721,25,255,255,255
722,25,255,255,255
723,25,255,255,255
724,500,255,255,255
725,150,255,255,255
726,50,255,255,255
727,275,255,255,255
728,25,255,255,255
729,75,255,255,255
730,75,255,255,255
731,25,255,255,255
732,25,255,255,255
733,100,255,255,255
734,8575,255,255,255
735,175,255,255,255
736,400,255,255,255
737,1250,255,255,255
738,25,255,255,255
739,25,255,255,255
740,125,255,255,255
741,150,255,255,255
742,50,255,255,255
743,50,255,255,255
744,125,255,255,255
745,600,255,255,255
746,50,255,255,255
747,75,255,255,255
748,50,255,255,255
749,25,255,255,255
750,25,255,255,255
751,75,255,255,255
752,25,255,255,255
753,25,255,255,255
754,50,255,255,255
755,50,255,255,255
756,100,255,255,255
757,300,255,255,255
758,950,255,255,255
759,25,255,255,255
760,250,255,255,255
761,75,255,255,255
762,25,255,255,255
763,100,255,255,255
764,25,255,255,255
765,550,255,255,255
766,25,255,255,255
767,25,255,255,255
768,25,255,255,255
769,6025,255,255,255
770,4700,255,255,255
771,25,255,255,255
772,25,255,255,255
773,3700,255,255,255
774,1325,255,255,255
775,525,255,255,255
776,225,255,255,255
777,325,255,255,255
778,25,255,255,255
779,50,255,255,255
780,150,255,255,255
781,875,255,255,255
782,50,255,255,255
783,25,255,255,255
784,50,255,255,255
785,700,255,255,255
786,25,255,255,255
787,50,255,255,255
788,225,255,255,255
789,425,255,255,255
790,325,255,255,255
791,50,255,255,255
792,425,255,255,255
793,250,255,255,255
794,50,255,255,255
795,1150,255,255,255
796,1125,255,255,255
797,25,255,255,255
798,25,255,255,255
799,25,255,255,255
800,100,255,255,255
801,25,255,255,255
802,224800,255,255,255
803,50,255,255,255
804,1450,255,255,255
805,25,255,255,255
806,25,255,255,255
807,25,255,255,255
808,2850,255,255,255
809,25,255,255,255
810,1450,255,255,255
811,50,255,255,255
812,50,255,255,255
813,50,255,255,255
814,50,255,255,255
815,375,255,255,255
816,25,255,255,255
817,575,255,255,255
818,550,255,255,255
819,100,255,255,255
820,25,255,255,255
821,25,255,255,255
